College,Course,GOPEN,LOPEN,GOBC,LOBC,GSC,LSC,GST,LST
Veermata Jijabai Technological Institute(VJTI),Computer Science,210,340,510,1000,2300,2700,11600,13000
Veermata Jijabai Technological Institute(VJTI),Civil Engineering,2561,9520,10082,11538,14222,24963,53892,80000
Veermata Jijabai Technological Institute(VJTI),Information Technology,319,617,520,1314,2329,3129,12394,14394
Veermata Jijabai Technological Institute(VJTI),Electrical Engineering,2213,2207,2725,6268,11147,11147,30949,30949
Veermata Jijabai Technological Institute(VJTI),Electronics and Telecommunication ,914,1275,1222,2187,5010,9293,26296,40000
Veermata Jijabai Technological Institute(VJTI),Electronics Engineering,1323,2126,1550,1700,7351,10000,27891,41000
Veermata Jijabai Technological Institute(VJTI),Mechanical Engineering,2402,4936,3939,6945,11670,19689,73171,100000
Veermata Jijabai Technological Institute(VJTI),Production Engineering[Sandwich],6050,11180,9696,10000,20523,34457,127606,113881
Veermata Jijabai Technological Institute(VJTI),Textile Technology,11454,22561,18456,31639,34579,34457,113881,113881
Sardar Patel College of Engineering,Civil Engineering,11412,17576,15832,38635,23289,39526,65648,66362
Sardar Patel College of Engineering,Electrical Engineering,4916,5573,11053,16616,18380,20545,60877,87021
Sardar Patel College of Engineering,Mechanical Engineering,2690,9865,5213,20858,15362,32515,52887,85057
Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology,Computer Science and Engineering,809,1652,2045,3519,5980,8732,14826,36328
Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology,Computer Engineering,482,1385,1820,3726,5793,8732,21385,36328
Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology,Electronics and Telecommunication ,2121,2990,2964,6638,10382,15484,37751,66166
Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,Computer Engineering,1455,2775,1455,2775,1455,2775,1455,2775
Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,Information Technology,2424,3604,2424,3604,2424,3604,2424,3604
Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,Artificial Intelligence (AI) and Data Science,2612,3796,2612,3796,2612,3796,2612,3796
Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,Electronics and Telecommunication Engg,5057,6594,5057,6594,5057,6594,5057,6594
Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,Mechanical Engineering,11519,21653,11519,21653,11519,21653,11519,21653
Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,Computer Science and Engineering(Data Science),2822,4108,2822,4108,2822,4108,2822,4108
Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),3177,4675,3177,4675,3177,4675,3177,4675
Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,Artificial Intelligence and Machine Learning,2524,4166,2524,4166,2524,4166,2524,4166
Vivekanand Education Society's Institute of Technology,Computer Engineering,4721,4721,4721,4721,4721,4721,4721,4721
Vivekanand Education Society's Institute of Technology,Information Technology,6562,7396,6562,7396,6562,7396,6562,7396
Vivekanand Education Society's Institute of Technology,Electronics and Telecommunication Engg,13563,13563,13563,13563,13563,13563,13563,13563
Vivekanand Education Society's Institute of Technology,Electronics and Computer Science,9965,11471,9965,11471,9965,11471,9965,11471
Vivekanand Education Society's Institute of Technology,Automation and Robotics,16965,30482,16965,30482,16965,30482,16965,30482
Vivekanand Education Society's Institute of Technology,Artificial Intelligence and Data Science,7478,7852,7478,7852,7478,7852,7478,30482
Thadomal Shahani Engineering College,Computer Engineering,3062,5024,3062,5024,3062,5024,3062,5024
Thadomal Shahani Engineering College,Information Technology,3755,5429,3755,5429,3755,5429,3755,5429
Thadomal Shahani Engineering College,Electronics and Telecommunication,7452,9452,7452,9452,7452,9452,7452,9452
Thadomal Shahani Engineering College,Chemical Engineering,29399,29399,29399,29399,29399,29399,29399,9452
Thadomal Shahani Engineering College,Artificial Intelligence and Data Science,4176,5554,4176,5554,4176,5554,4176,5554
